"","V1","Dimension1.score","depth.score","scope.score"
"phi_454_1",4550,-1.044,-0.485,-0.171
"phi_455_1",4555,-1.236,-0.483,-0.658
"phi_456_1",4560,0.633,1.343,-0.572
"phi_457_1",4565,-1.228,-0.147,-0.667
"phi_458_1",4570,0.721,-0.332,-0.673
"phi_459_1",4575,-1.178,-0.313,-0.668
"phi_460_1",4580,0.63,0.144,-0.696
"phi_461_1",4590,-1.229,-0.512,-0.704
"phi_462_1",4595,0.63,0.13,-0.692
"phi_463_1",4600,-1.036,-0.309,-0.672
"phi_464_1",4605,0.667,-0.481,-0.682
"phi_465_1",4610,-1.183,-0.476,-0.651
"phi_466_1",4615,-1.023,-0.501,-0.682
"phi_467_1",4625,-1.026,-0.371,-0.675
"phi_468_1",4630,-1.209,-0.489,-0.712
"phi_469_1",4635,0.753,0.256,-0.691
"phi_470_1",4640,-1.263,-0.139,-0.501
"phi_471_1",4645,-1.298,-0.476,-0.683
"phi_472_1",4650,-1.19,-0.47,-0.678
"phi_473_1",4655,-1.216,-0.317,-0.712
"phi_474_1",4660,0.588,0.138,-0.706
"phi_475_1",4670,-1.182,-0.452,-0.583
"phi_476_1",4675,0.733,-0.325,-0.574
"phi_477_1",4680,-1.141,-0.338,-0.689
"phi_478_1",4685,-1.289,-0.5,-0.671
"phi_479_1",4690,-1.167,-0.488,-0.678
"phi_480_1",4705,-1.156,-0.331,-0.712
"phi_481_1",4710,-0.937,-0.318,-0.674
"phi_482_1",4715,-0.999,-0.495,-0.659
"phi_483_1",4720,-1.173,-0.36,-0.677
"phi_484_1",4730,-1.002,-0.167,-0.696
"phi_485_1",4740,-0.9,-0.156,-0.701
"phi_486_1",4760,-0.913,-0.481,-0.58
"phi_487_1",4770,-1.231,-0.503,-0.556
"phi_488_1",4775,-0.969,-0.321,-0.674
"phi_490_1",4780,-1.171,-0.502,-0.715
"phi_491_1",4785,-1.098,0.283,-0.683
"phi_492_1",4790,-1.123,-0.496,-0.712
"phi_493_1",4795,-1.346,-0.506,-0.598
"phi_494_1",4815,-1.046,-0.368,-0.636
"phi_495_1",4820,-1.154,-0.502,-0.765
"phi_496_1",4825,-1.075,-0.497,-0.714
"phi_497_1",4830,-1.028,-0.017,-0.705
"phi_498_1",4835,-1.154,-0.442,-0.688
"phi_499_1",4850,-0.861,-0.347,-0.676
"phi_500_1",4855,-0.916,-0.511,-0.688
"phi_501_1",4860,-1.225,-0.498,-0.665
"phi_502_1",4865,0.591,1.094,0.419
"phi_503_1",4875,0.632,-0.316,-0.697
"phi_504_1",4880,-1.091,-0.194,-0.684
"phi_505_1",4885,0.617,-0.47,-0.698
"phi_506_1",4890,0.601,1.173,0.37
"phi_507_1",4900,-1.172,-0.497,0.456
"phi_508_1",4905,-1.112,-0.464,-0.669
"phi_511_1",4930,-1.338,-0.489,-0.497
"phi_512_1",4940,0.617,-0.507,-0.673
"phi_513_1",4945,-0.922,1.123,0.536
