ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
500,UGA,651,EGY,,6,1988,,,,sector,TREX,,,,,,-88,,1994,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1608
501,KEN,517,RWA,1,7,2000,,,,sector,TREX,,,,,,-88,,2006,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1609
510,TAZ,516,BUI,29,10,2008,,,,sector,TREX,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1610
517,RWA,530,ETH,26,3,2010,,,,general,DCA,TREX,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1612
517,RWA,552,ZIM,27,1,1998,,,,sector,TREX,,,,,,-88,,2004,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1613
517,RWA,560,SAF,5,7,2004,,,,general,DCA,,,5,-56,5,-88,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1614
520,SOM,560,SAF,,,1985,,,,general,DCA,,,,,,-88,,1991,0,low,,,factiva,"Wires, newspapers, transcripts",1,-99,,DCADv1.0-1615
520,SOM,640,TUR,22,5,2010,10,2,2011,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,Turkey Ministry of Foreign Affairs International Treaty Database,,,,DCADv1.0-1616
530,ETH,560,SAF,13,2,2009,13,2,2009,general,DCA,,,6,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1617
530,ETH,640,TUR,25,4,2006,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1618
530,ETH,640,TUR,5,4,2010,,,,general,DIC,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1619
530,ETH,640,TUR,5,4,2010,,,,general,DCA,,,,,,-88,,2010,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1620
530,ETH,666,ISR,10,12,1989,,,,sector,PROCUREMENT,DIC,,,,,-88,,1995,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1621
540,ANG,541,MZM,22,9,2010,,,,general,DCA,,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1622
